saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2013,9,291998.28726064466,2728,4,3,1.5,1950,Regina,Nokomis,4640,0
2005,6,851870.7279297884,2870,3,2,2.2,1903,ECCO,Calhoun-Isles,7816,1
2012,7,124067.71949779081,1992,2,1,1,1923,Cleveland,Camden,5431,0
2011,7,182047.91410634664,1985,3,1,1.2,1949,Armatage,Southwest,5120,1
2007,12,201191.61011137647,2092,4,1,1.2,1917,Jordan,Near North,5132,0
2007,6,186493.6139822616,2592,3,1,1.2,1924,Phillips West,Phillips,4674,0
2006,3,183330.0350525789,3024,5,2,1.2,1926,Willard - Hay,Near North,7239,0
2009,6,213662.98244797246,1550,2,2,1.2,1920,Howe,Longfellow,5292,0
2015,1,356949.3965844079,2202,3,3,2,1900,Northrop,Nokomis,4920,0
2006,8,358651.14818449464,2121,4,2,1.2,1926,Fulton,Southwest,5040,1
2006,4,545965.1220727455,2352,4,2,2,1917,Lynnhurst,Southwest,5400,1
2005,1,265090.4384133612,2092,3,1,2.2,1912,Central,Powderhorn,1763,0
2009,8,753923.8320685094,3022,4,4,1.7,1900,ECCO,Calhoun-Isles,7010,1
2015,7,194856.77508255123,2096,3,2,1.2,1925,Como,University,4960,0
2010,5,177862.84504579136,1728,2,1,1,1949,Longfellow,Longfellow,6816,1
2007,5,529976.058620106,2592,3,1,2,1926,Page,Nokomis,7848,1
2012,10,181426.67437985132,1794,3,1,1.7,1915,Corcoran,Powderhorn,4392,0
2006,8,506033.36604514235,2821,3,3,1,1974,St. Anthony West,Northeast,10890,2
2012,5,310002.4922063897,2280,3,1,1.7,1910,King Field,Southwest,5480,0
2007,8,145258.55335705722,1752,3,1,2,1920,Willard - Hay,Near North,5401,0
2009,6,420123.8418920807,2832,3,3,1.7,1918,King Field,Southwest,4840,1
2007,2,296674.46848099655,2598,3,2,2,1911,Willard - Hay,Near North,8064,1
2012,7,332727.06592589355,2352,3,2,1,1949,Hale,Nokomis,5098,2
2005,2,256617.9625779626,1824,3,1,1.7,1909,Bryant,Powderhorn,5016,0
2015,7,365992.7976675601,2192,3,2,1.2,1923,Ericsson,Nokomis,5040,1
2014,6,241488.22371443867,2024,3,2,1.7,1918,Waite Park,Northeast,5000,0
2012,7,225013.7276346297,2006,3,2,1.2,1925,Howe,Longfellow,5080,0
2013,7,221292.47574066123,1575,3,2,1.2,1949,Morris Park,Nokomis,6400,0
2014,5,156505.4515064284,2636,4,3,1.7,1905,Willard - Hay,Near North,4320,0
2010,1,285340.9696167145,2362,4,2,1.5,1932,Windom,Southwest,5670,1
2015,1,407471.4650240472,2728,4,3,2,1924,King Field,Southwest,5280,1
2013,8,239650.3323966829,1522,2,1,1,1930,Hale,Nokomis,4931,0
2015,7,297863.3304485914,2424,3,2,1.5,1939,Field,Nokomis,4760,2
2012,4,237927.00284047524,2022,3,2,2,1925,Field,Nokomis,5248,1
2008,4,241022.33315571508,2556,4,2,1.5,1926,Minnehaha,Nokomis,6750,1
2005,2,113903.53430353431,1750,3,1,1,1953,Willard - Hay,Near North,5160,0
2013,7,284724.4860455131,1986,3,2,1.2,1951,Kenny,Southwest,6350,0
2005,2,297355.2266112266,1960,3,1,1.2,1941,Hiawatha,Longfellow,5120,0
2010,11,181576.94612687282,1820,3,1,1.2,1924,Howe,Longfellow,5120,0
2005,8,246517.08312085673,1942,2,1,2,1925,Jordan,Near North,5367,0
2012,8,156992.31900068722,1692,2,1,1,1908,Northrop,Nokomis,4247,0
2005,7,296319.01487942535,2802,3,2,2,1937,Willard - Hay,Near North,7680,1
2006,9,286047.3372781065,2240,3,1,1,1996,Folwell,Camden,5032,0
2006,8,228980.0981354269,1916,3,2,1,1955,Morris Park,Nokomis,5120,0
2013,7,238008.41562902534,1744,2,2,1,1926,Howe,Longfellow,5248,1
2012,5,165710.4231066883,1304,2,1,1.2,1941,Seward,Longfellow,6000,0
2012,7,191628.23220613325,1380,3,2,1,1975,St. Anthony East,Northeast,5180,0
2015,6,678035.9930488056,4993,5,3,2.5,1900,Kenwood,Calhoun-Isles,7450,1
2005,12,270578.54416961136,2216,3,1,1,1963,St. Anthony East,Northeast,5160,0
2005,4,192868.85699535365,1481,3,1,1,1900,Jordan,Near North,5212,0
2014,8,133005.3061568264,3279,4,1,2,1900,Jordan,Near North,5429,1
2014,6,208340.65025228576,1912,3,2,1.7,1916,Corcoran,Powderhorn,5254,0
2013,6,171923.33670330618,3960,6,2,2,2005,Shingle Creek,Camden,6325,0
2011,9,395160.903277625,3462,5,2,2.5,1912,Lowry Hill East,Calhoun-Isles,5816,1
2006,4,300601.97309417045,1844,3,2,1.2,1945,Standish,Powderhorn,5040,0
2011,4,235281.81603173687,2160,3,1,1.2,1942,Windom,Southwest,6400,1
2014,3,145281.88181063265,2604,3,3,2,2001,Near - North,Near North,5292,0
2010,7,188387.28889501622,1850,3,1,1,1954,Waite Park,Northeast,9333,0
2015,6,214259.37380342255,1296,3,1,1.2,1940,Kenny,Southwest,5400,0
